# http://127.0.0.1:3515 --workers 5 --loaded-duration-minutes 2 --output-dir run1
# {"appUrl":"http://127.0.0.1:3515","debugLog":false,"loadedDurationMinutes":2.0,"logLevel":"WARN","outputDir":"run1","overwriteOutput":false,"recordingPath":"recording.log","workers":5}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
22,2,4,PLAYER_SESSION_CREATE,1656926950732,0,
22,2,4,REQ_HOME_START,1656926950732,4,
22,2,4,REQ_HOME_END,1656926950885,4,
22,2,4,REQ_GET_START,1656926950885,5,
22,2,4,REQ_GET_END,1656926950893,5,
22,2,4,REQ_GET_START,1656926950893,6,
22,2,4,REQ_GET_END,1656926950907,6,
22,2,4,REQ_GET_START,1656926950907,7,
22,2,4,REQ_GET_END,1656926950931,7,
22,2,4,REQ_GET_START,1656926950931,8,
22,2,4,REQ_GET_END,1656926950941,8,
22,2,4,REQ_GET_START,1656926950941,9,
22,2,4,REQ_GET_END,1656926950948,9,
22,2,4,REQ_GET_START,1656926950948,10,
22,2,4,REQ_GET_END,1656926950951,10,
22,2,4,REQ_GET_START,1656926950951,11,
22,2,4,REQ_GET_END,1656926950953,11,
22,2,4,WS_OPEN_START,1656926950953,12,
22,2,4,WS_OPEN_END,1656926955029,12,
22,2,4,PLAYBACK_SLEEPBEFORE_START,1656926955029,13,
22,2,4,PLAYBACK_SLEEPBEFORE_END,1656926955047,13,
22,2,4,WS_SEND_START,1656926955047,13,
22,2,4,WS_SEND_END,1656926955048,13,
22,2,4,WS_RECV_INIT_START,1656926955048,14,
22,2,4,WS_RECV_INIT_END,1656926959267,14,
22,2,4,WS_RECV_START,1656926959267,15,
22,2,4,WS_RECV_END,1656926963377,15,
22,2,4,PLAYBACK_SLEEPBEFORE_START,1656926963377,16,
22,2,4,PLAYBACK_SLEEPBEFORE_END,1656926963617,16,
22,2,4,WS_SEND_START,1656926963617,16,
22,2,4,WS_SEND_END,1656926963617,16,
22,2,4,WS_RECV_START,1656926963618,17,
22,2,4,WS_RECV_END,1656926971654,17,
22,2,4,PLAYBACK_SLEEPBEFORE_START,1656926971654,18,
22,2,4,PLAYBACK_SLEEPBEFORE_END,1656926971692,18,
22,2,4,WS_CLOSE_START,1656926971692,18,
22,2,4,WS_CLOSE_END,1656926971707,18,
22,2,4,PLAYBACK_DONE,1656926971707,0,
